YEAR,SITE,DISTANCE,HEIGHT,BALANUS,CHTHAMALUS,TETRACLITA,MYTILUS,M_PAPILLATUS,M_JARDINII,MASTO_CRUST,ENDOCLADIA,M_AFFINIS,M_FLACCIDA,M_LEPTO,GASTROCLONIU,CORALLINA,HILDENBRANDI,EGREGIA,FUCUS,SILVETIA,PHYLLOSPADIX,CORALLINE_CRUST,POLLICIPES,CYANO_CRUST,DIATOM,PIKEA,PORPHYRA,HESPEROPHYCHUS,CLADOPHORA,DOCECACERIA,TUNICATE,CODIUM,RED_CRUST,ORANGE SPONGE,C_CANALICULATUS,ANALEPUS,BARE,SUM_SESSILE,A_XANTHO,A_SOLA,A_ELEGAN,SERPULORBIS,L_KEENAE,L_SCUTULATA,T_FUNEBRALIS,T_BRUNNEA,NUTTALINA,L_GIGANTEA,NUCELLA,L_SCABRA,S_PURPURATUS,LIMPET,MOPALIA,PAGURUS,PACHYGRAPSUS,OPHIUROID,L_DIGITALIS,CYANOPLAX,OCENEBRINA,SUM_MOBILE
2002,protected,0.4,0.033,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,40,0,,,,,,,,,,,,,,40
2002,protected,0.9,0.058,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,22,0,0,170,1,,,,,,,,,,,,,,193
2002,protected,1.4,-0.012,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,151,6,,,,,,,,,,,,,,157
2002,protected,1.9,-0.007,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,36,0,,,,,,,,,,,,,,36
2002,protected,3.5,0.188,0,0,0,0,0,,0.045,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045,0,0,0,6,0,0,166,0,,,,,,,,,,,,,,172
2002,protected,4,0.152,0,0,0,0,0.03,,0.03,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0,0,0,0,0,0,75,0,,,,,,,,,,,,,,75
2002,protected,4.5,0.147,0,0,0,0,0,,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0,1,0,0,0,0,105,0,,,,,,,,,,,,,,106
2002,protected,5.1,0.153,0,0,0,0,0,,0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0,3,0,0,0,0,106,3,,,,,,,,,,,,,,112
2002,protected,5.6,0.073,0,0,0,0,0.04,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,6,0,3,0,0,191,3,,,,,,,,,,,,,,203
2002,protected,6.1,0.138,0.02,0,0,0,0.02,,0.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0,0,0,0,0,0,35,0,,,,,,,,,,,,,,35
2002,protected,6.6,0.059,0,0,0,0,0,,0.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0,0,0,0,0,0,64,1,,,,,,,,,,,,,,65
2002,protected,7.1,0.298,0,0,0,0,0,,0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0,0,0,0,0,0,63,0,,,,,,,,,,,,,,63
2002,protected,7.6,0.276,0,0,0,0,0,,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,3,0,1,0,0,1,0,,,,,,,,,,,,,,5
2002,protected,8.1,0.409,0,0,0,0,0.3,,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.34,0,0,0,0,0,0,9,0,,,,,,,,,,,,,,9
2002,protected,8.6,0.216,0,0,0,0,0.12,,0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0,6,0,0,0,0,102,0,,,,,,,,,,,,,,108
2002,protected,10,0.285,0,0,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,0,0,0,0,126,0,,,,,,,,,,,,,,132
2002,protected,10.5,0.343,0,0,0,0,0.25,,0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31,0,4,0,0,0,0,282,0,,,,,,,,,,,,,,286
2002,protected,11,0.448,0,0,0,0,0,,0.4,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,0,3,0,0,0,0,57,0,,,,,,,,,,,,,,60
2002,protected,11.5,0.511,0,0,0,0,0.03,,0.9,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,0,2,0,0,0,0,7,0,,,,,,,,,,,,,,9
2002,protected,12,0.413,0,0,0,0,0.02,,0.54,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0,7,0,0,0,0,34,0,,,,,,,,,,,,,,41
2002,protected,12.5,1.088,0,0,0,0,0.12,,0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,0.87,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,0
2002,protected,13.1,0.397,0,0,0,0,0.03,,0.15,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,0,1,3,0,0,0,165,,,,,,,,,,,,,,,169
2002,protected,13.6,0.897,0,0,0,0,0.12,,0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0,0,0,0,0,0,49,0,,,,,,,,,,,,,,49
2002,protected,14.1,0.983,0,0,0,0,0.18,,0,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0,0,0,0,0,0,39,0,,,,,,,,,,,,,,39
2002,protected,14.6,1.137,0,0,0,0,0.24,,0,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,1.18,0,0,3,0,0,0,12,0,,,,,,,,,,,,,,15
2002,protected,15.1,0.758,0,0,0,0,0.12,,0.04,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0,0,2,0,0,0,18,0,,,,,,,,,,,,,,20
2002,protected,15.7,1.453,0.08,0.06,0,0,0.28,,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,0.82,0,0,0,0,0,3,1,0,,,,,,,,,,,,,,4
2002,protected,16.2,1.653,0.5,0.08,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0,0,0,0,0,11,0,0,,,,,,,,,,,,,,11
2002,protected,16.7,1.478,0.07,0.08,0,0,0,,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,0,0,0,0,0,44,1,0,,,,,,,,,,,,,,45
2002,protected,17.7,1.475,0,0.03,0,0,0.08,,0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,0,0,0,0,0,11,0,0,,,,,,,,,,,,,,11
