Photo,site,transect,space.logit,prey.rich,urchin.ln,chiton.ln,cons.rich
P1010255_IJ,ON,ONA,-1.044103575,16,-0.762140052,2.406945108,0
P1010256_IJ,ON,ONA,-0.717247127,12,-0.762140052,2.406945108,2
P1010258_IJ,ON,ONA,-1.388394288,7,-0.762140052,2.406945108,2
P1010259_IJ,ON,ONA,-0.841904466,9,-0.762140052,2.406945108,0
P1010260_IJ,ON,ONA,-1.019104273,11,-0.762140052,2.406945108,3
P1010263_IJ,ON,ONA,-0.708705895,14,-0.762140052,2.406945108,3
P1010246_IJ,ON,ONB,-0.210351724,11,0.287682072,3.100092289,2
P1010247_IJ,ON,ONB,-0.594367483,10,0.287682072,3.505557397,3
P1010248_IJ,ON,ONB,-0.538943197,9,0.287682072,3.100092289,3
P1010249_IJ,ON,ONB,-0.319788428,10,0.287682072,3.505557397,3
P1010250_IJ,ON,ONB,-0.803302221,13,0.287682072,2.406945108,3
P1010252_IJ,ON,ONB,-0.524882983,12,0.287682072,2.406945108,2
P1010191_IJ,ON,ONC,-0.662457041,11,-0.405465108,2.406945108,2
P1010192_IJ,ON,ONC,-0.085300927,9,-0.405465108,3.100092289,2
P1010194_IJ,ON,ONC,-0.724377659,18,-0.405465108,2.406945108,2
P1010195_IJ,ON,ONC,-0.489258083,10,-0.405465108,3.100092289,4
P1010197_IJ,ON,ONC,-0.250978008,11,-0.405465108,3.100092289,1
P1010198_IJ,ON,ONC,-0.414001837,12,-0.405465108,3.793239469,5
P1010240_IJ,ON,ON0,-1.479552054,11,-1.32175584,2.406945108,2
P1010242_IJ,ON,ON0,-1.97379757,11,-1.32175584,2.406945108,0
ON0_45_090924_IJ,ON,ON0,-1.919695252,13,-1.32175584,2.406945108,2
ON0_46_090924_IJ,ON,ON0,-2.492960376,10,-1.32175584,2.406945108,0
ON0_47_090924_IJ,ON,ON0,-1.688924601,7,-1.32175584,2.406945108,0
ON0_49_090924_IJ,ON,ON0,-1.45059048,11,-1.32175584,2.406945108,1
P1010225_IJ,ON,ON2,-1.78734689,13,0.09531018,2.406945108,1
P1010226_IJ,ON,ON2,-0.270024358,5,0.09531018,2.406945108,0
P1010227_IJ,ON,ON2,0.362248285,12,0.09531018,3.505557397,5
ON2_43_090924_IJ,ON,ON2,-0.322164447,9,0.09531018,2.406945108,0
ON2_44_090924_IJ,ON,ON2,0.12427648,14,0.09531018,3.100092289,2
ON2_81_090924_IJ,ON,ON2,-0.303632428,8,0.09531018,2.406945108,0
P1010208_IJ,ON,ON4,-1.160461464,17,-0.762140052,2.406945108,3
P1010210_IJ,ON,ON4,-0.686496862,19,-0.762140052,2.406945108,2
ON4_71_090924_IJ,ON,ON4,-1.468747318,18,-0.762140052,2.406945108,2
ON4_72_090924_IJ,ON,ON4,-1.334835791,17,-0.762140052,2.406945108,0
ON4_73_090924_IJ,ON,ON4,-1.150100652,17,-0.762140052,2.406945108,2
ON4_74_090924_IJ,ON,ON4,-1.49978384,16,-0.762140052,2.406945108,1
P1010094_IJ,PG,PGA,-0.447595337,14,1.029619417,3.100092289,5
P1010097_IJ,PG,PGA,0.698420262,11,1.029619417,3.100092289,4
P1010098_IJ,PG,PGA,1.361885799,14,1.029619417,4.016383021,6
P1010099_IJ,PG,PGA,0.05072081,16,1.029619417,3.100092289,4
P1010101_IJ,PG,PGA,-1.332508632,16,1.029619417,3.100092289,4
P1010102_IJ,PG,PGA,-1.860249211,15,1.029619417,2.406945108,1
P1010104_IJ,PG,PGB,-0.226964899,14,0.382992252,3.793239469,5
P1010106_IJ,PG,PGB,-0.333713644,15,0.382992252,3.100092289,5
P1010108_IJ,PG,PGB,0.182314578,12,0.382992252,3.505557397,5
P1010110_IJ,PG,PGB,0.232886759,14,0.382992252,3.793239469,7
P1010111_IJ,PG,PGB,0.12675535,17,0.382992252,4.198704578,4
P1010112_IJ,PG,PGB,0.923007083,10,0.382992252,4.016383021,3
P1010179_IJ,PG,PGC,0.441000403,11,1.109662125,4.48638665,4
P1010181_IJ,PG,PGC,0.952926849,7,1.109662125,4.198704578,5
