quadrat,transect,site,study,space.logit,prey.rich,urchin.ln,chiton.ln,cons.rich
ON0_45,ON0.,ON,survey,-1.797651291,11,-1.321880849,0,0.666666667
ON0_46,ON0.,ON,survey,-1.21517939,13,-1.321880849,2.48490665,2
ON0_48,ON0.,ON,survey,-1.945158646,9,-1.321880849,0,0
ON0_49,ON0.,ON,survey,-1.136909933,11,-1.321880849,0,0.666666667
ON1_84,ON1.,ON,survey,-2.807593831,10,-1.098712294,0,0.333333333
ON1_85,ON1.,ON,survey,-2.239453074,10,-1.098712294,2.079441542,0.666666667
ON1_86,ON1.,ON,survey,-0.010353457,7,-1.098712294,1.609437912,2
ON1_17,ON1.,ON,survey,0.996376567,11,-1.098712294,2.995732274,3
ON2_43,ON2.,ON,survey,-0.201662661,8,0.182293779,0,0.666666667
ON2_44,ON2.,ON,survey,0.426819554,8,0.182293779,3.433987204,1.333333333
ON2_82,ON2.,ON,survey,-0.934884413,9,0.182293779,0,0.333333333
ON2_83,ON2.,ON,survey,1.122750596,8,0.182293779,2.772588722,1
ON3_16,ON3.,ON,survey,-0.382300877,10,0.427422275,2.48490665,1.333333333
ON3_77,ON3.,ON,survey,-0.141973811,13,0.427422275,2.48490665,4
ON3_78,ON3.,ON,survey,-0.000231134,10,0.427422275,2.995732274,2.333333333
ON3_79,ON3.,ON,survey,-1.086785102,16,0.427422275,2.772588722,3.333333333
ON4_71,ON4.,ON,survey,-1.952492213,14,-1.321880849,0,0
ON4_72,ON4.,ON,survey,-1.372331322,10,-1.321880849,0,2
ON4_73,ON4.,ON,survey,-1.65203131,14,-1.321880849,0,0.333333333
ON4_74,ON4.,ON,survey,-2.070676828,12,-1.321880849,0,0.333333333
ON5_25,ON5.,ON,survey,-4.359163078,11,-0.916374068,0,0
ON5_88,ON5.,ON,survey,-1.655005386,14,-0.916374068,0,1
ON5_89,ON5.,ON,survey,-3.09421922,13,-0.916374068,0,0.666666667
ON5_91,ON5.,ON,survey,-1.986431346,14,-0.916374068,0,0.666666667
PG1_7,PG1.,PG,survey,-2.393807676,12,-2.015153052,0,0.333333333
PG1_8,PG1.,PG,survey,-0.389071298,12,-2.015153052,2.079441542,2
PG1_96,PG1.,PG,survey,-1.107580959,12,-2.015153052,2.079441542,2.666666667
PG1_97,PG1.,PG,survey,-2.746010963,13,-2.015153052,0,1
PG2_10,PG2.,PG,survey,-2.967462228,11,-1.321880849,0,1.666666667
PG2_27,PG2.,PG,survey,-2.642261129,9,-1.321880849,2.48490665,3
PG2_98,PG2.,PG,survey,-1.446503672,9,-1.321880849,2.995732274,2.666666667
PG2_99,PG2.,PG,survey,-2.072308317,9,-1.321880849,2.48490665,1.333333333
PG3_0,PG3.,PG,survey,-1.031271759,9,-2.015153052,2.772588722,1.333333333
PG3_11,PG3.,PG,survey,0.012573233,16,-2.015153052,3.80666249,2
PG3_15,PG3.,PG,survey,-2.854816972,10,-2.015153052,0,2
PG3_95,PG3.,PG,survey,-2.540791104,14,-2.015153052,1.609437912,1.666666667
PG4_5,PG4.,PG,survey,1.74282384,4,-0.916374068,3.737669618,2.333333333
PG4_28,PG4.,PG,survey,-0.488920788,9,-0.916374068,3.433987204,3
PG4_65,PG4.,PG,survey,-1.71016367,13,-0.916374068,2.079441542,2.666666667
PG4_94,PG4.,PG,survey,-0.611072334,7,-0.916374068,3.63758616,2.333333333
PG5_2,PG5.,PG,survey,-1.396077807,14,0.287657072,2.079441542,3
PG5_3,PG5.,PG,survey,-0.909394888,15,0.287657072,2.079441542,3.333333333
PG5_92,PG5.,PG,survey,2.495926045,5,0.287657072,3.970291914,2.333333333
